p,q,x,y,z,theta,phi,rootid
0,6,0.813303,-0.494853,0.306038,72.1793,31.3184,720575940624086408
7,-8,-0.580453,-0.81298,-0.046223,92.6493,125.5262,720575940628439356
-1,9,0.902912,-0.240756,0.356071,69.1409,14.9302,720575940630799226
8,-9,-0.772666,-0.623478,-0.119428,96.8591,141.0993,720575940613919135
1,4,0.713082,-0.651325,0.259403,74.9654,42.4084,720575940614570705
6,-6,-0.284594,-0.95799,0.035503,87.9654,106.5453,720575940621003457
2,2,0.562531,-0.797855,0.216761,77.4812,54.8141,720575940614779026
0,7,0.838111,-0.430647,0.334833,70.4376,27.1955,720575940629040714
-1,10,0.913421,-0.159147,0.374612,67.9997,9.8835,720575940608431061
3,0,0.39501,-0.903223,0.167793,80.3405,66.3786,720575940626971560
5,-4,-0.04786,-0.995621,0.080303,85.394,92.7521,720575940626812222
4,-2,0.18442,-0.974529,0.127603,82.6689,79.2841,720575940637885043
1,5,0.7441,-0.596781,0.300278,72.5257,38.7302,720575940629180422
-1,11,0.916914,-0.084943,0.389941,67.0492,5.2928,720575940634569442
7,-7,-0.476016,-0.879375,0.010427,89.4026,118.4272,720575940618826314
0,8,0.855236,-0.368269,0.364623,68.6156,23.2969,720575940633149324
2,3,0.60916,-0.751133,0.254407,75.2615,50.9584,720575940631593297
6,-5,-0.200626,-0.977218,0.069247,86.0293,101.6018,720575940631758423
8,-8,-0.672787,-0.738739,-0.04027,92.3079,132.3249,720575940619899294
-1,12,0.917269,-0.001899,0.398263,66.5304,0.1186,720575940618995028
9,-9,-0.858858,-0.500054,-0.110949,96.37,149.7907,720575940618350804
3,1,0.451176,-0.867048,0.211348,77.7986,62.5094,720575940606654386
5,-3,0.02737,-0.993396,0.111423,83.6026,88.4218,720575940630146668
4,-1,0.253745,-0.95271,0.167204,80.3747,75.086,720575940610695338
1,6,0.769706,-0.542607,0.336348,70.3455,35.1821,720575940630369068
0,9,0.871352,-0.291231,0.394881,66.7415,18.4811,720575940628877161
7,-6,-0.375201,-0.925144,0.05773,86.6905,112.0755,720575940632932143
2,4,0.660416,-0.69121,0.293394,72.9387,46.3051,720575940608553155
0,10,0.886342,-0.209759,0.412794,65.6195,13.3145,720575940614212258
6,-4,-0.131825,-0.98595,0.102589,84.1117,97.6155,720575940616748096
3,2,0.499296,-0.829919,0.248875,75.5891,58.968,720575940615266866
1,7,0.796318,-0.478398,0.370153,68.275,30.9959,720575940626861712
8,-7,-0.57371,-0.818844,0.018775,88.9242,125.0164,720575940629500265
4,0,0.316356,-0.927482,0.199241,78.5074,71.166,720575940630440007
5,-2,0.098801,-0.983526,0.151378,81.2932,84.2635,720575940627882490
9,-8,-0.768938,-0.638064,-0.040113,92.2989,140.3141,720575940615912916
0,11,0.893006,-0.135219,0.42925,64.58,8.6103,720575940628576335
2,5,0.70279,-0.62901,0.332314,70.5907,41.8291,720575940636890224
1,8,0.818817,-0.413061,0.398647,66.5064,26.7692,720575940621194405
7,-5,-0.284396,-0.953963,0.095255,84.534,106.6004,720575940613638290
3,3,0.550525,-0.784694,0.284917,73.4461,54.9473,720575940636275124
0,12,0.896904,-0.053977,0.438918,63.9651,3.444,720575940623571555
6,-3,-0.056642,-0.988405,0.140879,81.9013,93.2799,720575940613709983
4,1,0.375446,-0.895511,0.238958,76.175,67.2539,720575940620101870
0,13,0.902907,0.04838,0.427104,64.7161,-3.0671,720575940625666488
5,-1,0.171616,-0.965285,0.19691,78.6437,79.9188,720575940643929800
2,6,0.730138,-0.575651,0.368137,68.3992,38.2528,720575940629866434
8,-6,-0.469932,-0.880236,0.065942,86.2191,118.0964,720575940619944360
1,9,0.83646,-0.339764,0.429994,64.5328,22.1066,720575940604508332
10,-8,-0.871503,-0.489058,-0.036128,92.0705,150.7003,720575940616085917
9,-7,-0.669359,-0.742712,0.018388,88.9464,132.0263,720575940640672501
3,4,0.602405,-0.730141,0.322495,71.1861,50.4756,720575940645541252
7,-4,-0.207523,-0.969435,0.130885,82.4792,102.0827,720575940612393000
1,10,0.853388,-0.259999,0.451807,63.1403,16.9443,720575940628590235
2,7,0.752701,-0.52086,0.402673,66.2546,34.6828,720575940631369078
4,2,0.430755,-0.857637,0.280908,73.6856,63.3315,720575940614607912
6,-2,0.013223,-0.983865,0.178422,79.7222,89.23,720575940610533582
5,0,0.237768,-0.941916,0.237195,76.279,75.8328,720575940613676975
8,-5,-0.377809,-0.919204,0.111015,83.6262,112.3435,720575940621304229
1,11,0.865224,-0.180639,0.467715,62.1139,11.7927,720575940624161171
3,5,0.649329,-0.667752,0.363977,68.6554,45.8014,720575940628857604
2,8,0.777947,-0.454018,0.434358,64.2556,30.2683,720575940631195333
9,-6,-0.569111,-0.819295,0.069772,85.9991,124.7852,720575940641151284
10,-7,-0.767315,-0.641082,0.015523,89.1106,140.1217,720575940603200428
4,3,0.485451,-0.814152,0.318581,71.4229,59.1938,720575940633345375
1,12,0.871,-0.108192,0.479221,61.3655,7.0808,720575940626089609
7,-3,-0.145802,-0.974318,0.1716,80.1192,98.5109,720575940619213771
5,1,0.301006,-0.913503,0.273693,74.1158,71.7625,720575940622622502
6,-1,0.082855,-0.971787,0.220827,77.2424,85.1267,720575940620916389
1,14,0.878511,0.083737,0.470326,61.9445,-5.4448,720575940648026756
1,13,0.874797,-0.01689,0.484196,61.0402,1.1061,720575940617882342
3,6,0.685272,-0.607185,0.402154,66.2871,41.5425,720575940633004359
2,9,0.796914,-0.387892,0.463106,62.4123,25.9542,720575940639223203
8,-4,-0.298465,-0.940587,0.161908,80.6824,107.6051,720575940612109619
4,4,0.535698,-0.765727,0.355935,69.1493,55.0236,720575940624769771
11,-7,-0.864363,-0.502786,-0.009123,90.5227,149.8141,720575940606721801
7,-2,-0.074445,-0.974959,0.209555,77.9037,94.3664,720575940621491226
2,10,0.813707,-0.312667,0.49002,60.6581,21.0193,720575940647860532
3,7,0.710147,-0.553615,0.434972,64.2165,37.9392,720575940619967435
9,-5,-0.469944,-0.874163,0.122442,82.9669,118.2622,720575940619619510
5,2,0.359395,-0.877799,0.31671,71.5359,67.7345,720575940611884773
6,0,0.154717,-0.951823,0.264755,74.6476,80.7674,720575940628589032
10,-6,-0.668531,-0.73991,0.074831,85.7085,132.0987,720575940627077834
2,11,0.831028,-0.231245,0.505884,59.61,15.55,720575940618311892
4,5,0.583046,-0.708724,0.3972,66.5968,50.5569,720575940610979590
3,8,0.730854,-0.494456,0.470495,61.9336,34.0801,720575940625800209
8,-3,-0.23022,-0.950439,0.208958,77.9387,103.6162,720575940618013745
2,12,0.843009,-0.153356,0.515574,58.9641,10.3102,720575940635506528
5,3,0.414677,-0.837859,0.355015,69.2056,63.668,720575940633476141
7,-1,-0.008202,-0.967914,0.251148,75.4546,90.4855,720575940611882725
6,1,0.219526,-0.924622,0.31126,71.8648,76.644,720575940613956242
2,13,0.847393,-0.071255,0.526164,58.2534,4.8065,720575940633827996
9,-4,-0.389583,-0.903191,0.180198,79.6187,113.3325,720575940626888720
3,9,0.749595,-0.430512,0.502758,59.8173,29.8699,720575940614282134
11,-6,-0.775466,-0.62741,0.070776,85.9414,141.0246,720575940614047500
4,6,0.625506,-0.643689,0.440915,63.8377,45.8208,720575940631679530
2,14,0.84496,0.017521,0.534543,57.6871,-1.1879,720575940619308653
10,-5,-0.572952,-0.808621,0.133636,82.3202,125.3197,720575940622206442
5,4,0.462852,-0.794712,0.392683,66.8784,59.7829,720575940628290618
8,-2,-0.165291,-0.953938,0.250362,75.501,99.8302,720575940621852042
3,10,0.768738,-0.363128,0.526479,58.2321,25.2846,720575940610772174
7,0,0.063119,-0.953257,0.295496,72.8127,86.2117,720575940616893638
12,-6,-0.875624,-0.480115,0.052653,86.9818,151.2635,720575940622468681
6,2,0.2821,-0.89203,0.353133,69.321,72.4507,720575940645669940
4,7,0.655663,-0.587286,0.474553,61.6697,41.8512,720575940619962422
3,11,0.792032,-0.282829,0.541011,57.2475,19.6513,720575940611524835
9,-3,-0.317799,-0.91812,0.236767,76.3042,109.0928,720575940631016275
5,5,0.509784,-0.741487,0.436253,64.1349,55.4909,720575940612031694
4,8,0.6812,-0.530463,0.504555,59.6982,37.9085,720575940609758217
10,-4,-0.482138,-0.854166,0.19479,78.7675,119.4428,720575940619905919
3,12,0.804869,-0.202508,0.557832,56.094,14.1227,720575940610460402
11,-5,-0.679555,-0.720049,0.140482,81.9243,133.3427,720575940615702621
6,3,0.338497,-0.854445,0.394136,66.7879,68.3885,720575940618156702
8,-1,-0.09403,-0.952111,0.290935,73.0861,95.6402,720575940620183066
7,1,0.130848,-0.931807,0.338547,70.2116,82.0066,720575940626644496
3,13,0.81369,-0.118797,0.569031,55.3173,8.3064,720575940637651034
5,6,0.556721,-0.678002,0.479973,61.3163,50.6099,720575940632194221
4,9,0.69843,-0.468168,0.541308,57.2273,33.8345,720575940610674090
3,14,0.814126,-0.032573,0.579774,54.5654,2.2912,720575940607787138
9,-2,-0.25119,-0.925578,0.283211,73.5481,105.1836,720575940615590034
3,15,0.798008,0.060781,0.599575,53.1606,-4.3556,720575940631608315
6,4,0.38899,-0.812416,0.434358,64.2555,64.4146,720575940631865874
12,-5,-0.789918,-0.598144,0.135104,82.2354,142.8662,720575940630271336
4,10,0.718499,-0.399932,0.569046,55.3163,29.1012,720575940637260133
7,2,0.192549,-0.901805,0.386875,67.2398,77.9474,720575940626917635
8,0,-0.023145,-0.940119,0.34006,70.1194,91.4103,720575940625474106
5,7,0.595956,-0.616936,0.514029,59.0674,45.991,720575940611778290
10,-3,-0.405985,-0.876959,0.257135,75.0999,114.8416,720575940632129295
11,-4,-0.589326,-0.781347,0.205406,78.1467,127.0252,720575940612727550
4,11,0.744278,-0.32458,0.583693,54.2893,23.5621,720575940630964551
13,-5,-0.87296,-0.468167,0.136967,82.1276,151.7954,720575940616176852
6,5,0.434892,-0.763707,0.477096,61.5041,60.3407,720575940630567698
5,8,0.622432,-0.563987,0.542675,57.134,42.1798,720575940614518678
9,-1,-0.186653,-0.926758,0.326005,70.9735,101.3873,720575940609925589
4,12,0.761768,-0.245031,0.599724,53.1499,17.8309,720575940612556438
7,3,0.255523,-0.866097,0.429632,64.5558,73.5625,720575940629042639
8,1,0.044143,-0.924819,0.377838,67.8002,87.2673,720575940634724453
4,13,0.772095,-0.163755,0.614047,52.1173,11.9745,720575940620552973
10,-2,-0.3342,-0.89009,0.309918,71.9457,110.5795,720575940624689610
5,9,0.645104,-0.500952,0.576964,54.7627,37.8309,720575940629763663
6,6,0.485304,-0.704047,0.518458,58.7711,55.4213,720575940623887128
4,14,0.778709,-0.079911,0.622275,51.5176,5.8592,720575940627273274
12,-4,-0.697075,-0.686466,0.207003,78.0532,135.4393,720575940630034243
4,15,0.78295,0.014882,0.621906,51.5445,-1.0889,720575940608309771
11,-3,-0.510873,-0.815819,0.271014,74.2754,122.0552,720575940611625238
7,4,0.312953,-0.824718,0.471063,61.8967,69.2199,720575940625303788
9,0,-0.116272,-0.920136,0.373939,68.0412,97.2019,720575940621308912
5,10,0.66705,-0.430813,0.607819,52.568,32.8563,720575940631147484
8,2,0.100939,-0.902497,0.418701,65.2474,83.6183,720575940650510838
6,7,0.528693,-0.643304,0.553754,56.375,50.5853,720575940655611553
13,-4,-0.803623,-0.56358,0.191228,78.9755,144.9581,720575940610739882
5,11,0.690269,-0.358242,0.628642,51.05,27.4288,720575940632107033
10,-1,-0.273782,-0.893327,0.356385,69.1217,107.039,720575940621699521
7,5,0.360127,-0.77858,0.513928,59.0742,65.1774,720575940621585276
6,8,0.563954,-0.587775,0.580066,54.5448,46.1849,720575940611667154
5,12,0.712851,-0.280357,0.642841,49.996,21.4692,720575940616367133
9,1,-0.044376,-0.907355,0.418016,65.2906,92.7999,720575940630542663
8,3,0.163471,-0.872287,0.460861,62.5573,79.3856,720575940625774631
12,-3,-0.610067,-0.741538,0.279176,73.789,129.4443,720575940640562749
11,-2,-0.435049,-0.835819,0.334873,70.4352,117.4973,720575940618795099
5,13,0.724278,-0.201816,0.659311,48.7526,15.5702,720575940624185904
6,9,0.590624,-0.523846,0.613799,52.1353,41.571,720575940629678124
7,6,0.413471,-0.722922,0.553557,56.3886,60.2329,720575940608211780
5,14,0.73385,-0.121184,0.668415,48.0551,9.3769,720575940612162227
5,16,0.737916,0.06754,0.671504,47.8167,-5.2296,720575940628534827
10,0,-0.213047,-0.893079,0.396259,66.6555,103.4174,720575940614104774
5,15,0.740534,-0.031278,0.671291,47.8332,2.4186,720575940619876890
8,4,0.22398,-0.834435,0.503539,59.7656,74.9748,720575940629170220
6,10,0.614797,-0.454532,0.644534,49.8692,36.4763,720575940610952198
9,2,0.016666,-0.891145,0.453413,63.0371,88.9286,720575940628359223
13,-3,-0.712143,-0.644862,0.277498,73.8891,137.8385,720575940618364325
7,7,0.460005,-0.665798,0.587459,54.0231,55.3591,720575940643862324
11,-1,-0.360604,-0.848486,0.387345,67.2106,113.0253,720575940640355213
12,-2,-0.536842,-0.768338,0.348508,69.6039,124.9422,720575940604947657
14,-3,-0.822139,-0.504343,0.264056,74.6891,148.4729,720575940640879779
6,11,0.635681,-0.385772,0.668647,48.0373,31.2521,720575940610953478
8,5,0.28012,-0.790002,0.545371,56.95,70.4765,720575940626235644
6,12,0.66088,-0.311236,0.682912,46.9283,25.2177,720575940628892432
7,8,0.495538,-0.610792,0.617556,51.8621,50.9474,720575940627395345
10,1,-0.139119,-0.884812,0.444695,63.5962,98.9355,720575940629129679
9,3,0.071214,-0.86869,0.490211,60.6456,85.3135,720575940627539653
6,13,0.676408,-0.23423,0.69829,45.7101,19.1002,720575940636481513
8,6,0.338033,-0.737319,0.584888,54.2049,65.3703,720575940620857776
11,0,-0.29999,-0.853005,0.42707,64.7182,109.3761,720575940644639904
7,9,0.528221,-0.548089,0.648522,49.5697,46.0575,720575940623877828
6,14,0.685449,-0.158497,0.710661,44.7113,13.0198,720575940646413108
13,-2,-0.63064,-0.693094,0.349161,69.564,132.2988,720575940637161013
6,16,0.693235,0.033657,0.719926,43.9517,-2.7796,720575940645309988
6,15,0.694293,-0.069725,0.716307,44.2496,5.7348,720575940646428980
12,-1,-0.459203,-0.789855,0.406524,66.0133,120.1727,720575940620960020
10,2,-0.071861,-0.867231,0.492693,60.4823,94.7369,720575940643527112
9,4,0.13438,-0.833081,0.53658,57.5489,80.8368,720575940611686513
7,10,0.559636,-0.474736,0.679289,47.2119,40.3077,720575940622864169
8,7,0.388434,-0.678748,0.623233,51.4474,60.2184,720575940632406543
14,-2,-0.738092,-0.591477,0.324615,71.0577,141.2927,720575940636169705
7,11,0.581906,-0.406702,0.704258,45.2304,34.9503,720575940622033110
11,1,-0.233055,-0.854511,0.464217,62.3405,105.2555,720575940629104377
9,5,0.19202,-0.792268,0.579172,54.6077,76.3761,720575940617037969
10,3,-0.011983,-0.850153,0.526399,58.2375,90.8076,720575940626697609
8,8,0.424038,-0.624103,0.656268,48.9841,55.8064,720575940614448059
7,12,0.603473,-0.337423,0.722473,43.741,29.2111,720575940608278281
12,0,-0.387855,-0.800723,0.456521,62.8372,115.8447,720575940625153836
13,-1,-0.559149,-0.71721,0.415887,65.4248,127.9405,720575940613073918
7,13,0.622291,-0.262672,0.737399,42.4897,22.8848,720575940625276958
8,9,0.454595,-0.567206,0.686747,46.6268,51.2891,720575940606513342
9,6,0.25043,-0.742381,0.621414,51.5806,71.359,720575940609453010
7,14,0.632637,-0.184599,0.752126,41.2251,16.2669,720575940627080945
11,2,-0.166898,-0.841573,0.513712,59.0886,101.2172,720575940621902674
7,15,0.645138,-0.10132,0.757319,40.7716,8.9255,720575940626085264
10,4,0.047995,-0.820584,0.569507,55.2841,86.6526,720575940641108699
7,16,0.648244,-0.00856,0.761384,40.4136,0.7566,720575940645078984
14,-1,-0.654632,-0.638152,0.40524,66.0938,135.7304,720575940638827984
8,10,0.493126,-0.497239,0.713849,44.451,45.2379,720575940628087913
12,1,-0.324633,-0.80383,0.498469,60.1012,111.9917,720575940618358838
15,-1,-0.751178,-0.538859,0.381265,67.588,144.3462,720575940630600951
9,7,0.307266,-0.686886,0.658616,48.8056,65.8995,720575940627864305
13,0,-0.484534,-0.735105,0.474181,61.6939,123.3903,720575940622263815
8,11,0.526777,-0.423984,0.736712,42.548,38.8293,720575940631539397
10,5,0.109,-0.784204,0.610854,52.3487,82.0869,720575940626436733
11,3,-0.101894,-0.821459,0.561091,55.8687,97.0709,720575940619997121
8,12,0.538526,-0.355359,0.764009,40.1811,33.4198,720575940619265140
9,8,0.348717,-0.631502,0.692533,46.169,61.0924,720575940608157635
8,13,0.560092,-0.283348,0.778466,38.8796,26.8347,720575940626298364
12,2,-0.260601,-0.802039,0.53742,57.4918,108.0002,720575940621548543
14,0,-0.585358,-0.656342,0.475995,61.5758,131.7281,720575940627611517
10,6,0.164658,-0.74143,0.650515,49.4196,77.4789,720575940626175619
8,14,0.571813,-0.211321,0.7927,37.5614,20.2824,720575940617817693
