p,q,x,y,z,theta,phi,rootid
13,5,-0.127206,0.68947,0.713056,44.5159,-100.4534,720575940639399075
9,12,0.475411,0.34345,0.809955,35.9085,-35.8453,720575940621897648
8,14,0.552008,0.19503,0.81071,35.8346,-19.4588,720575940630282496
15,3,-0.42703,0.621342,0.656947,48.9325,-124.4996,720575940623457031
14,4,-0.28456,0.665868,0.68967,46.396,-113.1395,720575940614222590
12,7,0.081251,0.633683,0.769314,39.7077,-82.6934,720575940622909734
11,9,0.265329,0.537661,0.800326,36.8388,-63.7343,720575940623464375
10,11,0.387652,0.41988,0.820626,34.8525,-47.2854,720575940623344969
8,15,0.567535,0.110863,0.815852,35.3283,-11.053,720575940622532036
9,13,0.490473,0.279653,0.825367,34.3743,-29.6905,720575940610708292
13,6,-0.062327,0.660344,0.748372,41.5504,-95.3919,720575940607734729
16,3,-0.519615,0.554349,0.650152,49.447,-133.1476,720575940621376244
8,16,0.578845,0.025939,0.815025,35.4102,-2.5658,720575940635386464
14,5,-0.222138,0.647045,0.729374,43.166,-108.9479,720575940623340412
12,8,0.132293,0.583909,0.800967,36.7774,-77.2343,720575940617033556
15,4,-0.363287,0.611986,0.702492,45.3727,-120.6942,720575940611496750
17,3,-0.591678,0.486889,0.642539,50.0186,-140.5492,720575940620262527
11,10,0.296926,0.483842,0.823244,34.5891,-58.4632,720575940616677332
10,12,0.410123,0.356788,0.839346,32.9289,-41.0218,720575940623914509
9,14,0.49859,0.210714,0.840837,32.7714,-22.9099,720575940609038660
13,7,-0.009847,0.614988,0.788475,37.9568,-90.9173,720575940617381533
12,9,0.176446,0.529845,0.829537,33.9488,-71.5814,720575940626897930
11,11,0.318922,0.427097,0.846095,32.2105,-53.2506,720575940633780505
16,4,-0.44836,0.546955,0.706976,45.0106,-129.3428,720575940623475463
9,15,0.511561,0.12769,0.849706,31.8203,-14.0152,720575940631189445
10,13,0.430165,0.293295,0.853778,31.3751,-34.2869,720575940618641531
14,6,-0.157339,0.61633,0.77161,39.5013,-104.3208,720575940617927291
15,5,-0.305292,0.598864,0.740378,42.2364,-117.0118,720575940631330255
9,16,0.523762,0.043838,0.850736,31.7082,-4.7844,720575940620088941
13,8,0.041072,0.567926,0.822054,34.709,-85.8636,720575940626903634
17,4,-0.54825,0.477888,0.686327,46.6599,-138.9227,720575940616394939
9,17,0.530963,-0.056836,0.845487,32.2759,6.1098,720575940620751051
12,10,0.217185,0.476019,0.852195,31.5488,-65.475,720575940618989853
11,12,0.347064,0.365452,0.863708,30.2645,-46.4783,720575940651997686
10,14,0.439943,0.226302,0.869044,29.6523,-27.2208,720575940605354668
14,7,-0.103306,0.581358,0.807063,36.1901,-100.0761,720575940624438567
16,5,-0.385846,0.534767,0.751762,41.2567,-125.8113,720575940614109438
15,6,-0.246308,0.575572,0.779775,38.76,-113.1679,720575940630318956
13,9,0.087074,0.517361,0.851326,31.6438,-80.4464,720575940638823477
10,15,0.449548,0.144269,0.881529,28.1727,-17.7924,720575940636481528
12,11,0.250472,0.418879,0.872814,29.2127,-59.1223,720575940620211627
11,13,0.368251,0.301659,0.879428,28.4266,-39.3232,720575940614281523
17,5,-0.472392,0.461024,0.751201,41.3055,-135.6977,720575940644858916
14,8,-0.049763,0.542232,0.838754,32.9913,-95.2436,720575940643576520
10,16,0.463973,0.055399,0.884115,27.8572,-6.809,720575940621056109
18,5,-0.566259,0.366755,0.738134,42.4273,-147.0696,720575940617780283
13,10,0.129936,0.464414,0.876034,28.8324,-74.3692,720575940637399262
10,17,0.474659,-0.036848,0.879398,28.4302,4.439,720575940619896734
12,12,0.27939,0.361408,0.889565,27.1814,-52.2938,720575940617982021
11,14,0.381831,0.232638,0.894475,26.559,-31.3528,720575940626128016
15,7,-0.189059,0.541479,0.819181,34.9971,-109.2468,720575940617980957
16,6,-0.329279,0.523633,0.785738,38.2111,-122.1631,720575940622981153
14,9,0.004256,0.496429,0.868067,29.7653,-89.5088,720575940625807888
13,11,0.171214,0.407297,0.897104,26.2201,-67.1998,720575940646237550
11,15,0.388977,0.153852,0.908309,24.7272,-21.5803,720575940633337645
12,13,0.308126,0.303888,0.901505,25.6434,-44.6033,720575940644851912
17,6,-0.412121,0.452491,0.790828,37.7371,-132.3267,720575940631721017
15,8,-0.137838,0.50512,0.851971,31.5733,-105.2634,720575940621952636
16,7,-0.274376,0.498225,0.82249,34.6652,-118.8419,720575940619521729
11,16,0.398415,0.068995,0.914606,23.8501,-9.8247,720575940623723814
18,6,-0.502652,0.365167,0.783577,38.4107,-144.0023,720575940617469657
14,10,0.050125,0.449254,0.891997,26.8748,-83.6337,720575940611625877
13,12,0.204095,0.349824,0.914313,23.8916,-59.7397,720575940621761449
12,14,0.322754,0.238745,0.915877,23.6694,-36.4908,720575940613006614
11,17,0.407189,-0.018466,0.913157,24.0546,2.5966,720575940638779994
15,9,-0.088854,0.462799,0.881999,28.1156,-100.8681,720575940630033980
17,7,-0.3614,0.438285,0.82298,34.6157,-129.5083,720575940623263501
12,15,0.332101,0.16185,0.929254,21.6812,-25.9824,720575940624608841
