p,q,x,y,z,theta,phi
4,-3,0.02737,-0.993396,0.111423,83.6026,88.4218
3,-1,0.253745,-0.95271,0.167204,80.3747,75.086
0,6,0.769706,-0.542607,0.336348,70.3455,35.1821
-2,13,0.905528,0.091308,0.414345,65.5219,-5.7579
-1,9,0.871352,-0.291231,0.394881,66.7415,18.4811
6,-6,-0.375201,-0.925144,0.05773,86.6905,112.0755
1,4,0.660416,-0.69121,0.293394,72.9387,46.3051
-1,10,0.886342,-0.209759,0.412794,65.6195,13.3145
5,-4,-0.131825,-0.98595,0.102589,84.1117,97.6155
2,2,0.499296,-0.829919,0.248875,75.5891,58.968
0,7,0.796318,-0.478398,0.370153,68.275,30.9959
7,-7,-0.57371,-0.818844,0.018775,88.9242,125.0164
3,0,0.316356,-0.927482,0.199241,78.5074,71.166
4,-2,0.098801,-0.983526,0.151378,81.2932,84.2635
8,-8,-0.768938,-0.638064,-0.040113,92.2989,140.3141
-1,11,0.893006,-0.135219,0.42925,64.58,8.6103
1,5,0.70279,-0.62901,0.332314,70.5907,41.8291
0,8,0.818817,-0.413061,0.398647,66.5064,26.7692
6,-5,-0.284396,-0.953963,0.095255,84.534,106.6004
2,3,0.550525,-0.784694,0.284917,73.4461,54.9473
-1,12,0.896904,-0.053977,0.438918,63.9651,3.444
5,-3,-0.056642,-0.988405,0.140879,81.9013,93.2799
3,1,0.375446,-0.895511,0.238958,76.175,67.2539
-1,13,0.902907,0.04838,0.427104,64.7161,-3.0671
4,-1,0.171616,-0.965285,0.19691,78.6437,79.9188
1,6,0.730138,-0.575651,0.368137,68.3992,38.2528
7,-6,-0.469932,-0.880236,0.065942,86.2191,118.0964
0,9,0.83646,-0.339764,0.429994,64.5328,22.1066
9,-8,-0.871503,-0.489058,-0.036128,92.0705,150.7003
8,-7,-0.669359,-0.742712,0.018388,88.9464,132.0263
2,4,0.602405,-0.730141,0.322495,71.1861,50.4756
6,-4,-0.207523,-0.969435,0.130885,82.4792,102.0827
0,10,0.853388,-0.259999,0.451807,63.1403,16.9443
1,7,0.752701,-0.52086,0.402673,66.2546,34.6828
3,2,0.430755,-0.857637,0.280908,73.6856,63.3315
5,-2,0.013223,-0.983865,0.178422,79.7222,89.23
4,0,0.237768,-0.941916,0.237195,76.279,75.8328
7,-5,-0.377809,-0.919204,0.111015,83.6262,112.3435
0,11,0.865224,-0.180639,0.467715,62.1139,11.7927
2,5,0.649329,-0.667752,0.363977,68.6554,45.8014
1,8,0.777947,-0.454018,0.434358,64.2556,30.2683
8,-6,-0.569111,-0.819295,0.069772,85.9991,124.7852
9,-7,-0.767315,-0.641082,0.015523,89.1106,140.1217
3,3,0.485451,-0.814152,0.318581,71.4229,59.1938
0,12,0.871,-0.108192,0.479221,61.3655,7.0808
6,-3,-0.145802,-0.974318,0.1716,80.1192,98.5109
4,1,0.301006,-0.913503,0.273693,74.1158,71.7625
5,-1,0.082855,-0.971787,0.220827,77.2424,85.1267
0,14,0.878511,0.083737,0.470326,61.9445,-5.4448
0,13,0.874797,-0.01689,0.484196,61.0402,1.1061
2,6,0.685272,-0.607185,0.402154,66.2871,41.5425
1,9,0.796914,-0.387892,0.463106,62.4123,25.9542
7,-4,-0.298465,-0.940587,0.161908,80.6824,107.6051
3,4,0.535698,-0.765727,0.355935,69.1493,55.0236
10,-7,-0.864363,-0.502786,-0.009123,90.5227,149.8141
6,-2,-0.074445,-0.974959,0.209555,77.9037,94.3664
1,10,0.813707,-0.312667,0.49002,60.6581,21.0193
2,7,0.710147,-0.553615,0.434972,64.2165,37.9392
8,-5,-0.469944,-0.874163,0.122442,82.9669,118.2622
4,2,0.359395,-0.877799,0.31671,71.5359,67.7345
5,0,0.154717,-0.951823,0.264755,74.6476,80.7674
9,-6,-0.668531,-0.73991,0.074831,85.7085,132.0987
1,11,0.831028,-0.231245,0.505884,59.61,15.55
3,5,0.583046,-0.708724,0.3972,66.5968,50.5569
2,8,0.730854,-0.494456,0.470495,61.9336,34.0801
7,-3,-0.23022,-0.950439,0.208958,77.9387,103.6162
1,12,0.843009,-0.153356,0.515574,58.9641,10.3102
4,3,0.414677,-0.837859,0.355015,69.2056,63.668
6,-1,-0.008202,-0.967914,0.251148,75.4546,90.4855
5,1,0.219526,-0.924622,0.31126,71.8648,76.644
1,13,0.847393,-0.071255,0.526164,58.2534,4.8065
8,-4,-0.389583,-0.903191,0.180198,79.6187,113.3325
2,9,0.749595,-0.430512,0.502758,59.8173,29.8699
10,-6,-0.775466,-0.62741,0.070776,85.9414,141.0246
3,6,0.625506,-0.643689,0.440915,63.8377,45.8208
1,14,0.84496,0.017521,0.534543,57.6871,-1.1879
1,15,0.839134,0.072333,0.539094,57.378,-4.9267
9,-5,-0.572952,-0.808621,0.133636,82.3202,125.3197
4,4,0.462852,-0.794712,0.392683,66.8784,59.7829
7,-2,-0.165291,-0.953938,0.250362,75.501,99.8302
2,10,0.768738,-0.363128,0.526479,58.2321,25.2846
6,0,0.063119,-0.953257,0.295496,72.8127,86.2117
11,-6,-0.875624,-0.480115,0.052653,86.9818,151.2635
5,2,0.2821,-0.89203,0.353133,69.321,72.4507
3,7,0.655663,-0.587286,0.474553,61.6697,41.8512
2,11,0.792032,-0.282829,0.541011,57.2475,19.6513
8,-3,-0.317799,-0.91812,0.236767,76.3042,109.0928
4,5,0.509784,-0.741487,0.436253,64.1349,55.4909
3,8,0.6812,-0.530463,0.504555,59.6982,37.9085
9,-4,-0.482138,-0.854166,0.19479,78.7675,119.4428
2,12,0.804869,-0.202508,0.557832,56.094,14.1227
10,-5,-0.679555,-0.720049,0.140482,81.9243,133.3427
5,3,0.338497,-0.854445,0.394136,66.7879,68.3885
7,-1,-0.09403,-0.952111,0.290935,73.0861,95.6402
6,1,0.130848,-0.931807,0.338547,70.2116,82.0066
2,13,0.81369,-0.118797,0.569031,55.3173,8.3064
4,6,0.556721,-0.678002,0.479973,61.3163,50.6099
3,9,0.69843,-0.468168,0.541308,57.2273,33.8345
2,14,0.814126,-0.032573,0.579774,54.5654,2.2912
8,-2,-0.25119,-0.925578,0.283211,73.5481,105.1836
2,15,0.798008,0.060781,0.599575,53.1606,-4.3556
5,4,0.38899,-0.812416,0.434358,64.2555,64.4146
11,-5,-0.789918,-0.598144,0.135104,82.2354,142.8662
3,10,0.718499,-0.399932,0.569046,55.3163,29.1012
6,2,0.192549,-0.901805,0.386875,67.2398,77.9474
7,0,-0.023145,-0.940119,0.34006,70.1194,91.4103
4,7,0.595956,-0.616936,0.514029,59.0674,45.991
9,-3,-0.405985,-0.876959,0.257135,75.0999,114.8416
10,-4,-0.589326,-0.781347,0.205406,78.1467,127.0252
3,11,0.744278,-0.32458,0.583693,54.2893,23.5621
12,-5,-0.87296,-0.468167,0.136967,82.1276,151.7954
5,5,0.434892,-0.763707,0.477096,61.5041,60.3407
4,8,0.622432,-0.563987,0.542675,57.134,42.1798
8,-1,-0.186653,-0.926758,0.326005,70.9735,101.3873
3,12,0.761768,-0.245031,0.599724,53.1499,17.8309
6,3,0.255523,-0.866097,0.429632,64.5558,73.5625
7,1,0.044143,-0.924819,0.377838,67.8002,87.2673
3,13,0.772095,-0.163755,0.614047,52.1173,11.9745
9,-2,-0.3342,-0.89009,0.309918,71.9457,110.5795
4,9,0.645104,-0.500952,0.576964,54.7627,37.8309
5,6,0.485304,-0.704047,0.518458,58.7711,55.4213
3,14,0.778709,-0.079911,0.622275,51.5176,5.8592
11,-4,-0.697075,-0.686466,0.207003,78.0532,135.4393
3,15,0.78295,0.014882,0.621906,51.5445,-1.0889
10,-3,-0.510873,-0.815819,0.271014,74.2754,122.0552
6,4,0.312953,-0.824718,0.471063,61.8967,69.2199
8,0,-0.116272,-0.920136,0.373939,68.0412,97.2019
4,10,0.66705,-0.430813,0.607819,52.568,32.8563
7,2,0.100939,-0.902497,0.418701,65.2474,83.6183
5,7,0.528693,-0.643304,0.553754,56.375,50.5853
12,-4,-0.803623,-0.56358,0.191228,78.9755,144.9581
4,11,0.690269,-0.358242,0.628642,51.05,27.4288
9,-1,-0.273782,-0.893327,0.356385,69.1217,107.039
6,5,0.360127,-0.77858,0.513928,59.0742,65.1774
5,8,0.563954,-0.587775,0.580066,54.5448,46.1849
4,12,0.712851,-0.280357,0.642841,49.996,21.4692
8,1,-0.044376,-0.907355,0.418016,65.2906,92.7999
7,3,0.163471,-0.872287,0.460861,62.5573,79.3856
11,-3,-0.610067,-0.741538,0.279176,73.789,129.4443
10,-2,-0.435049,-0.835819,0.334873,70.4352,117.4973
4,13,0.724278,-0.201816,0.659311,48.7526,15.5702
5,9,0.590624,-0.523846,0.613799,52.1353,41.571
6,6,0.413471,-0.722922,0.553557,56.3886,60.2329
4,14,0.73385,-0.121184,0.668415,48.0551,9.3769
4,16,0.737916,0.06754,0.671504,47.8167,-5.2296
9,0,-0.213047,-0.893079,0.396259,66.6555,103.4174
4,15,0.740534,-0.031278,0.671291,47.8332,2.4186
7,4,0.22398,-0.834435,0.503539,59.7656,74.9748
5,10,0.614797,-0.454532,0.644534,49.8692,36.4763
8,2,0.016666,-0.891145,0.453413,63.0371,88.9286
12,-3,-0.712143,-0.644862,0.277498,73.8891,137.8385
6,7,0.460005,-0.665798,0.587459,54.0231,55.3591
10,-1,-0.360604,-0.848486,0.387345,67.2106,113.0253
11,-2,-0.536842,-0.768338,0.348508,69.6039,124.9422
13,-3,-0.822139,-0.504343,0.264056,74.6891,148.4729
5,11,0.635681,-0.385772,0.668647,48.0373,31.2521
7,5,0.28012,-0.790002,0.545371,56.95,70.4765
5,12,0.66088,-0.311236,0.682912,46.9283,25.2177
6,8,0.495538,-0.610792,0.617556,51.8621,50.9474
9,1,-0.139119,-0.884812,0.444695,63.5962,98.9355
8,3,0.071214,-0.86869,0.490211,60.6456,85.3135
5,13,0.676408,-0.23423,0.69829,45.7101,19.1002
7,6,0.338033,-0.737319,0.584888,54.2049,65.3703
10,0,-0.29999,-0.853005,0.42707,64.7182,109.3761
6,9,0.528221,-0.548089,0.648522,49.5697,46.0575
5,14,0.685449,-0.158497,0.710661,44.7113,13.0198
12,-2,-0.63064,-0.693094,0.349161,69.564,132.2988
5,16,0.693235,0.033657,0.719926,43.9517,-2.7796
5,15,0.694293,-0.069725,0.716307,44.2496,5.7348
11,-1,-0.459203,-0.789855,0.406524,66.0133,120.1727
9,2,-0.071861,-0.867231,0.492693,60.4823,94.7369
8,4,0.13438,-0.833081,0.53658,57.5489,80.8368
6,10,0.559636,-0.474736,0.679289,47.2119,40.3077
7,7,0.388434,-0.678748,0.623233,51.4474,60.2184
13,-2,-0.738092,-0.591477,0.324615,71.0577,141.2927
6,11,0.581906,-0.406702,0.704258,45.2304,34.9503
10,1,-0.233055,-0.854511,0.464217,62.3405,105.2555
8,5,0.19202,-0.792268,0.579172,54.6077,76.3761
9,3,-0.011983,-0.850153,0.526399,58.2375,90.8076
7,8,0.424038,-0.624103,0.656268,48.9841,55.8064
6,12,0.603473,-0.337423,0.722473,43.741,29.2111
11,0,-0.387855,-0.800723,0.456521,62.8372,115.8447
12,-1,-0.559149,-0.71721,0.415887,65.4248,127.9405
6,13,0.622291,-0.262672,0.737399,42.4897,22.8848
7,9,0.454595,-0.567206,0.686747,46.6268,51.2891
8,6,0.25043,-0.742381,0.621414,51.5806,71.359
6,14,0.632637,-0.184599,0.752126,41.2251,16.2669
10,2,-0.166898,-0.841573,0.513712,59.0886,101.2172
6,17,0.641516,0.066496,0.764222,40.1621,-5.9179
6,15,0.645138,-0.10132,0.757319,40.7716,8.9255
9,4,0.047995,-0.820584,0.569507,55.2841,86.6526
6,16,0.648244,-0.00856,0.761384,40.4136,0.7566
13,-1,-0.654632,-0.638152,0.40524,66.0938,135.7304
7,10,0.493126,-0.497239,0.713849,44.451,45.2379
11,1,-0.324633,-0.80383,0.498469,60.1012,111.9917
14,-1,-0.751178,-0.538859,0.381265,67.588,144.3462
8,7,0.307266,-0.686886,0.658616,48.8056,65.8995
12,0,-0.484534,-0.735105,0.474181,61.6939,123.3903
7,11,0.526777,-0.423984,0.736712,42.548,38.8293
9,5,0.109,-0.784204,0.610854,52.3487,82.0869
10,3,-0.101894,-0.821459,0.561091,55.8687,97.0709
7,12,0.538526,-0.355359,0.764009,40.1811,33.4198
8,8,0.348717,-0.631502,0.692533,46.169,61.0924
7,13,0.560092,-0.283348,0.778466,38.8796,26.8347
11,2,-0.260601,-0.802039,0.53742,57.4918,108.0002
13,0,-0.585358,-0.656342,0.475995,61.5758,131.7281
9,6,0.164658,-0.74143,0.650515,49.4196,77.4789
7,14,0.571813,-0.211321,0.7927,37.5614,20.2824
8,9,0.383119,-0.574019,0.723686,43.6403,56.2796
10,4,-0.03738,-0.798083,0.601386,53.0307,92.6816
12,1,-0.418068,-0.740951,0.525558,58.2942,119.4331
7,17,0.598459,0.06901,0.798176,37.0437,-6.5779
7,15,0.580432,-0.128331,0.804133,36.4734,12.4673
7,16,0.596165,-0.034352,0.802127,36.6663,3.2978
14,0,-0.677527,-0.56822,0.466993,62.1607,140.0145
8,10,0.42234,-0.512732,0.747486,41.627,50.5216
9,7,0.223156,-0.688446,0.690104,46.3616,72.0402
11,3,-0.198429,-0.785662,0.58597,54.1285,104.1744
8,11,0.459794,-0.444488,0.768778,39.7557,44.0303
10,5,0.018705,-0.765383,0.643303,49.9615,88.6
13,1,-0.513245,-0.670262,0.53603,57.5862,127.4426
12,2,-0.356049,-0.742879,0.566886,55.4666,115.6076
8,12,0.478475,-0.374376,0.794295,37.4113,38.0409
9,8,0.274105,-0.636237,0.721158,43.8499,66.6926
8,13,0.494191,-0.302568,0.815002,35.4125,31.477
9,9,0.315945,-0.581566,0.749639,41.4408,61.4863
10,6,0.070619,-0.728288,0.681622,47.0295,84.4616
8,14,0.512689,-0.230351,0.827096,34.1984,24.1943
11,4,-0.133598,-0.762723,0.632776,50.7448,99.9351
8,17,0.543978,0.025947,0.838698,32.9971,-2.7308
14,1,-0.617225,-0.581568,0.529917,58.0002,136.7037
15,1,-0.716016,-0.476167,0.510476,59.3044,146.3752
8,15,0.517159,-0.154458,0.841837,32.6654,16.6291
8,16,0.528729,-0.065488,0.846261,32.1927,7.0606
12,3,-0.293602,-0.738083,0.60748,52.5925,111.6922
9,10,0.352673,-0.519355,0.778391,38.8865,55.8212
13,2,-0.447777,-0.678767,0.58204,54.4058,123.4125
10,7,0.127731,-0.684842,0.717409,44.159,79.4351
11,5,-0.071458,-0.739856,0.668959,48.0132,95.5167
9,11,0.388362,-0.456785,0.800327,36.8387,49.6286
10,8,0.185273,-0.636679,0.748541,41.5359,73.7751
9,12,0.411151,-0.391042,0.823432,34.5701,43.564
9,18,0.502,0.074334,0.861667,30.4957,-8.4229
14,2,-0.541796,-0.604808,0.583665,54.2913,131.8545
12,4,-0.234329,-0.716299,0.657272,48.9079,108.1149
9,13,0.427077,-0.32053,0.845497,32.2747,36.889
11,6,-0.020563,-0.708542,0.705369,45.1406,91.6624
13,3,-0.386,-0.679064,0.6244,51.3618,119.6152
15,2,-0.63018,-0.52591,0.571219,55.1647,140.1537
10,9,0.235561,-0.581993,0.778328,38.8922,67.9645
9,14,0.445855,-0.248208,0.860004,30.683,29.1047
9,17,0.479351,0.003348,0.877617,28.6438,-0.4001
9,15,0.461403,-0.172787,0.870202,29.5178,20.53
9,16,0.465496,-0.086742,0.880789,28.2623,10.5557
10,10,0.279984,-0.523581,0.804656,36.4229,61.8645
11,7,0.031335,-0.672741,0.739215,42.3354,87.3332
12,5,-0.172526,-0.698726,0.694274,46.0306,103.8698
14,3,-0.474189,-0.613417,0.631557,50.8349,127.705
10,11,0.316941,-0.4627,0.827923,34.114,55.5895
13,4,-0.324803,-0.665398,0.672123,47.7689,116.0186
11,8,0.090824,-0.62914,0.771967,39.4691,81.7854
15,3,-0.568962,-0.53427,0.62517,51.3053,136.8011
12,6,-0.114053,-0.678062,0.726102,43.4394,99.548
10,12,0.343936,-0.39768,0.850623,31.7205,49.1449
16,3,-0.666726,-0.432766,0.606787,52.6425,147.0127
10,18,0.426012,0.083622,0.900845,25.7307,-11.1055
10,13,0.362487,-0.335303,0.869583,29.5898,42.7691
11,9,0.141041,-0.578584,0.803335,36.5502,76.3002
10,14,0.378449,-0.262953,0.887486,27.4409,34.7922
14,4,-0.412471,-0.608136,0.678261,47.2921,124.1473
10,17,0.414191,-0.008306,0.910152,24.4736,1.1488
13,5,-0.268923,-0.649513,0.711205,44.6669,112.4914
10,15,0.401222,-0.183348,0.897444,26.176,24.5592
10,16,0.409617,-0.096197,0.907171,24.8826,13.2162
12,7,-0.059713,-0.647275,0.759914,40.5434,95.2708
11,10,0.191791,-0.523413,0.830214,33.8793,69.876
11,11,0.234791,-0.465265,0.853464,31.4095,63.2227
15,4,-0.500543,-0.534623,0.680907,47.0854,133.1144
12,8,-0.001124,-0.613477,0.789712,37.8414,90.105
13,6,-0.204737,-0.63881,0.741623,42.1301,107.7705
16,4,-0.603968,-0.448077,0.659128,48.7666,143.4287
11,12,0.271867,-0.398555,0.875924,28.8455,55.7009
14,5,-0.354755,-0.594047,0.721982,43.7816,120.8449
11,18,0.350854,0.051701,0.935002,20.7716,-8.3827
11,13,0.302571,-0.335694,0.892054,26.8675,47.9707
12,9,0.050034,-0.565412,0.823289,34.5846,84.943
13,7,-0.148752,-0.615114,0.774279,39.2603,103.5947
11,17,0.35134,-0.020297,0.936028,20.6052,3.3064
11,14,0.31903,-0.269492,0.908622,24.6844,40.1885
11,15,0.340774,-0.191721,0.920389,23.017,29.3624
11,16,0.347479,-0.106152,0.93166,21.305,16.9875
15,5,-0.43755,-0.528756,0.727301,43.3394,129.608
12,10,0.105068,-0.516823,0.849621,31.8296,78.5086
14,6,-0.293417,-0.583704,0.757097,40.791,116.6879
17,5,-0.613829,-0.34209,0.711469,44.6454,150.8688
13,8,-0.087833,-0.582345,0.808183,36.0813,98.5771
12,11,0.155537,-0.461984,0.873143,29.174,71.3931
16,5,-0.523354,-0.447593,0.725094,43.5233,139.4617
12,12,0.189927,-0.397402,0.897775,26.1329,64.4558
12,18,0.28684,0.05811,0.956214,17.0177,-11.4524
14,7,-0.233444,-0.572206,0.786183,38.1698,112.1941
15,6,-0.377476,-0.525838,0.762237,40.3382,125.6729
13,9,-0.034548,-0.544583,0.837995,33.071,93.63
12,13,0.233537,-0.33026,0.914543,23.8591,54.7347
12,14,0.261076,-0.264012,0.928513,21.7958,45.3203
12,17,0.288692,-0.027881,0.957016,16.8601,5.5164
12,15,0.277131,-0.189061,0.942048,19.6016,34.3021
13,10,0.01691,-0.496985,0.867594,29.8197,88.0513
12,16,0.285745,-0.108588,0.952134,17.7992,20.8077
16,6,-0.458336,-0.449627,0.766658,39.9453,135.5495
17,6,-0.569084,-0.350109,0.744021,41.925,148.3996
14,8,-0.179285,-0.541083,0.821636,34.7511,108.3324
15,7,-0.318083,-0.513891,0.796705,37.1834,121.7563
13,11,0.071168,-0.444453,0.89297,26.7511,80.9027
13,18,0.224137,0.053823,0.97307,13.327,-13.503
13,12,0.110096,-0.380064,0.918385,23.3089,73.8449
14,9,-0.122419,-0.503448,0.855309,31.2061,103.6669
18,7,-0.612845,-0.237994,0.753512,41.1045,158.7767
16,7,-0.399321,-0.443748,0.802265,36.653,131.9835
13,13,0.14631,-0.315518,0.937572,20.3522,65.1221
15,8,-0.263753,-0.494726,0.828058,34.1002,118.0634
13,17,0.216296,-0.013548,0.976234,12.5164,3.5841
13,14,0.184065,-0.248277,0.951041,18.0029,53.4479
14,10,-0.073405,-0.462013,0.88383,27.8921,99.0277
17,7,-0.495205,-0.349486,0.795381,37.3087,144.7879
13,16,0.214631,-0.089777,0.97256,13.4532,22.6988
13,15,0.20344,-0.172719,0.963733,15.4781,40.331
14,18,0.122039,0.065235,0.990379,7.9541,-28.1263
14,11,-0.026167,-0.412333,0.910657,24.4037,93.6312
15,9,-0.208469,-0.456782,0.864807,30.1394,114.5313
16,8,-0.347031,-0.425711,0.835667,33.3147,129.1862
14,12,0.021037,-0.352931,0.935413,20.7051,86.5888
18,8,-0.552765,-0.240117,0.797994,37.061,156.5203
17,8,-0.441298,-0.343549,0.828993,34.0045,142.0994
14,13,0.061724,-0.291099,0.9547,17.3118,78.0285
14,17,0.142261,0.043363,0.988879,8.553,-16.952
15,10,-0.154548,-0.418706,0.894875,26.5077,110.2596
14,14,0.093192,-0.219502,0.971151,13.796,66.9958
14,16,0.132844,-0.057988,0.989439,8.3343,23.5818
16,9,-0.291358,-0.401743,0.868166,29.7537,125.9509
14,15,0.117044,-0.138926,0.983362,10.4664,49.886
15,11,-0.114593,-0.371131,0.921483,22.8562,107.159
18,9,-0.508638,-0.21324,0.834156,33.4719,157.2548
15,17,0.069569,0.06001,0.995771,5.2715,-40.7809
17,9,-0.38645,-0.323568,0.86369,30.2665,140.0611
15,12,-0.073635,-0.312342,0.947111,18.7177,103.2653
16,10,-0.238171,-0.367246,0.899113,25.9582,122.9647
15,13,-0.02829,-0.254988,0.96653,14.8656,96.3308
15,16,0.055174,-0.019973,0.998277,3.3639,19.9007
15,14,0.00604,-0.181395,0.983392,10.4569,88.093
16,17,0.011915,0.088833,0.995975,5.1422,-82.3605
15,15,0.031136,-0.099767,0.994524,5.9991,72.6676
16,11,-0.191424,-0.325529,0.925952,22.1876,120.4573
17,10,-0.330009,-0.295524,0.896526,26.2948,138.1554
18,10,-0.431861,-0.204895,0.878359,28.555,154.6182
19,11,-0.461956,-0.062861,0.884672,27.7888,172.251
16,12,-0.156112,-0.263436,0.951961,17.8315,120.6511
16,16,-0.049404,0.037611,0.99807,3.5598,-142.7183
17,11,-0.278204,-0.258417,0.925107,22.3155,137.1117
16,13,-0.116016,-0.201068,0.972683,13.423,119.9849
16,15,-0.05552,-0.046657,0.997367,4.1588,139.9575
18,11,-0.374013,-0.170808,0.911558,24.2784,155.4542
16,14,-0.079564,-0.129345,0.988402,8.7346,121.5969
17,16,-0.109992,0.082262,0.990522,7.8946,-143.2076
19,12,-0.425072,-0.033085,0.904555,25.2366,175.5494
17,12,-0.231738,-0.206887,0.950524,18.0985,138.2426
18,12,-0.32195,-0.126826,0.938224,20.2447,158.4989
17,13,-0.195316,-0.143221,0.970226,14.0164,143.7482
17,15,-0.13317,0.015208,0.990976,7.7029,-173.4849
18,13,-0.253181,-0.084139,0.963753,15.4737,161.6169
17,14,-0.154439,-0.074848,0.985163,9.8821,154.143
18,15,-0.169639,0.042858,0.984574,10.0769,-165.8214
18,14,-0.221149,-0.025683,0.974902,12.8638,173.3755
