p,q,x,y,z,theta,phi
-12,0,0.954368,-0.184297,-0.234984,103.5907,10.9298
-7,-12,0.047482,-0.776359,-0.6285,128.9396,86.5002
-9,-6,0.646939,-0.647976,-0.40199,113.7026,45.0459
-13,2,0.977686,0.005074,-0.210011,102.123,-0.2973
-7,-11,0.150771,-0.801498,-0.578679,125.3577,79.3465
-8,-8,0.467511,-0.753165,-0.462791,117.5674,58.1709
-10,-3,0.828373,-0.480313,-0.288267,106.7542,30.1063
-11,-1,0.920925,-0.311679,-0.233995,103.5324,18.698
-9,-5,0.699801,-0.620168,-0.354501,110.7629,41.5475
-6,-15,-0.313047,-0.634295,-0.706874,134.9812,116.2679
-12,1,0.972856,-0.124913,-0.194803,101.2332,7.3167
-6,-16,-0.386912,-0.573234,-0.722289,136.2438,124.0179
-7,-10,0.247868,-0.811294,-0.529494,121.9713,73.0109
-6,-14,-0.229738,-0.703494,-0.672545,132.2638,108.0853
-8,-7,0.539194,-0.732037,-0.416403,114.6077,53.6259
-6,-13,-0.137351,-0.757889,-0.637761,129.6251,100.2721
-10,-2,0.864475,-0.436318,-0.249619,104.4549,26.781
-13,3,0.979636,0.07261,-0.187193,100.789,-4.239
-11,0,0.945534,-0.258637,-0.197668,101.4006,15.2982
-7,-9,0.330061,-0.813311,-0.479151,118.63,67.9115
-9,-4,0.750316,-0.586816,-0.304422,107.7234,38.0287
-6,-12,-0.029673,-0.803731,-0.594253,126.4594,92.1143
-12,2,0.983371,-0.0707,-0.167283,99.6299,4.1123
-8,-6,0.603126,-0.708472,-0.366478,111.4986,49.5921
-6,-11,0.081034,-0.835301,-0.543789,122.9419,84.459
-7,-8,0.409838,-0.805246,-0.428501,115.3724,63.0257
-10,-1,0.899498,-0.385953,-0.204798,101.8177,23.223
-11,1,0.96535,-0.203117,-0.16384,99.4299,11.8822
-9,-3,0.796207,-0.547705,-0.257048,104.895,34.5238
-5,-15,-0.398158,-0.613417,-0.682048,133.0039,122.9869
-8,-5,0.658501,-0.681687,-0.318873,108.5948,45.9911
-6,-10,0.179461,-0.849859,-0.495514,119.7036,78.0762
-5,-14,-0.303551,-0.70517,-0.640775,129.8496,113.2902
-12,3,0.988817,-0.013593,-0.148511,98.5407,0.7876
-7,-7,0.484883,-0.787568,-0.380296,112.352,58.3806
-5,-13,-0.208871,-0.770828,-0.601828,127.001,105.1613
-10,0,0.930052,-0.330566,-0.160403,99.2303,19.5666
-9,-2,0.836151,-0.503722,-0.217063,102.5366,31.066
-6,-9,0.268709,-0.852485,-0.448403,116.6413,72.5048
-11,2,0.98206,-0.140157,-0.126154,97.2474,8.1223
-8,-4,0.711293,-0.647586,-0.273301,105.8608,42.3158
-5,-12,-0.107056,-0.819781,-0.562582,124.2345,97.4402
-7,-6,0.55483,-0.762893,-0.331901,109.3842,53.9727
-12,4,0.990231,0.058032,-0.126789,97.2841,-3.354
-5,-11,-0.000438,-0.861966,-0.506965,120.4619,90.0291
-9,-1,0.872984,-0.454745,-0.176368,100.1583,27.5154
-6,-8,0.348517,-0.849525,-0.396035,113.3305,67.6942
-10,1,0.953676,-0.273588,-0.125108,97.187,16.007
-4,-15,-0.465395,-0.596803,-0.653631,130.8159,127.9476
-8,-3,0.761542,-0.606447,-0.228639,103.217,38.5317
-11,3,0.990994,-0.08369,-0.104532,96.0002,4.8272
-4,-14,-0.383882,-0.690799,-0.612724,127.7867,119.0612
-7,-5,0.613933,-0.735484,-0.286619,106.6557,50.1471
-5,-10,0.102164,-0.883553,-0.457051,117.197,83.4042
-6,-7,0.426036,-0.835936,-0.345983,110.2418,62.9943
-4,-13,-0.28853,-0.771072,-0.567625,124.5848,110.5155
-10,2,0.974145,-0.207061,-0.090374,95.1851,12.0
-9,0,0.909284,-0.395539,-0.129425,97.4364,23.509
-8,-2,0.801817,-0.568509,-0.184085,100.6078,35.3376
-5,-9,0.198038,-0.890677,-0.409237,114.1569,77.4645
-4,-12,-0.181882,-0.830116,-0.527092,121.8092,102.3585
-11,4,0.996317,-0.017407,-0.083966,94.8165,1.0009
-7,-4,0.666175,-0.705133,-0.242894,104.0574,46.6273
-6,-6,0.498984,-0.814082,-0.297128,107.2852,58.4942
-4,-11,-0.078029,-0.874782,-0.478193,118.5674,95.0972
-5,-8,0.283185,-0.887522,-0.363471,111.3135,72.3035
-9,1,0.937646,-0.336212,-0.088211,95.0607,19.7263
-8,-1,0.841846,-0.52022,-0.143761,98.2655,31.7141
-10,3,0.986973,-0.150425,-0.057064,93.2713,8.6658
-7,-3,0.721479,-0.663489,-0.198115,101.4267,42.6024
-3,-14,-0.448475,-0.678813,-0.581449,125.5525,123.4517
-11,5,0.996007,0.054732,-0.070534,94.0447,-3.1453
-6,-5,0.568712,-0.783607,-0.250056,104.4808,54.0293
-4,-10,0.020513,-0.905779,-0.423254,115.0402,88.7027
-3,-13,-0.363559,-0.757794,-0.541823,122.8078,115.6298
-5,-7,0.364308,-0.877092,-0.313032,108.242,67.444
-9,2,0.958584,-0.279104,-0.056721,93.2516,16.2336
-8,0,0.882133,-0.460078,-0.100844,95.7878,27.5444
-10,4,0.995657,-0.086882,-0.033447,91.9167,4.987
-7,-2,0.768751,-0.620728,-0.154009,98.8593,38.9191
-4,-9,0.120616,-0.91997,-0.372971,111.899,82.5306
-3,-12,-0.258264,-0.830279,-0.493899,119.5972,107.2787
-6,-4,0.621897,-0.754234,-0.210653,102.1606,50.493
-5,-6,0.442153,-0.857126,-0.264266,105.3233,62.7128
-3,-11,-0.148793,-0.881069,-0.448974,116.6778,99.5855
-4,-8,0.211959,-0.920078,-0.329438,109.2347,77.0271
-10,5,0.99985,-0.011582,-0.012883,90.7381,0.6636
-9,3,0.976778,-0.21311,-0.022095,91.266,12.3077
-8,1,0.917851,-0.392792,-0.057135,93.2754,23.1684
-7,-1,0.807394,-0.579205,-0.11241,96.4542,35.6547
-2,-14,-0.513627,-0.654728,-0.554543,123.6792,128.1138
-6,-3,0.673498,-0.720468,-0.16531,99.5152,46.9299
-3,-10,-0.049571,-0.915896,-0.398342,113.4746,93.098
-2,-13,-0.434433,-0.736468,-0.518539,121.2343,120.5358
-5,-5,0.513237,-0.830663,-0.215841,102.4649,58.2896
-4,-7,0.297307,-0.912973,-0.279443,106.227,71.9623
-9,4,0.988122,-0.153449,0.008223,89.5289,8.8271
-8,2,0.940053,-0.340139,-0.024623,91.4109,19.8916
-10,6,0.996603,0.081088,0.01438,89.176,-4.6516
-2,-12,-0.335597,-0.815784,-0.471033,118.1014,112.3613
-7,0,0.8474,-0.526163,-0.071167,94.081,31.8368
-3,-9,0.042063,-0.937931,-0.344261,110.1367,87.4322
-6,-2,0.727224,-0.675614,-0.121205,96.9616,42.8931
-5,-4,0.578606,-0.797466,-0.171066,99.8498,54.037
-4,-6,0.37928,-0.896669,-0.228323,103.1984,67.0723
-2,-11,-0.225493,-0.881233,-0.415429,114.5464,104.3531
-9,5,0.995942,-0.082402,0.036174,87.9269,4.7298
-8,3,0.961484,-0.274781,0.006623,89.6205,15.9493
-3,-8,0.131635,-0.946985,-0.293072,107.042,82.0864
-7,1,0.888198,-0.458745,-0.025646,91.4696,27.3159
-1,-14,-0.587495,-0.621166,-0.518654,121.242,133.4043
-6,-1,0.774153,-0.62789,-0.080254,94.6032,39.0444
-5,-3,0.63134,-0.764514,-0.130108,97.4758,50.4499
-1,-13,-0.507283,-0.710684,-0.487435,119.1721,125.5191
-2,-10,-0.119357,-0.924124,-0.362972,111.2828,97.3594
-4,-5,0.456667,-0.87118,-0.180281,100.3861,62.3367
-9,6,0.998856,-0.004088,0.047638,87.2695,0.2345
-3,-7,0.223722,-0.943263,-0.245364,104.2034,76.6572
-1,-12,-0.416179,-0.791796,-0.447051,116.5546,117.727
-8,4,0.976842,-0.210366,0.039072,87.7608,12.1532
-7,2,0.917863,-0.396807,0.008443,89.5163,23.3796
-2,-9,-0.025874,-0.94867,-0.315207,108.3733,91.5623
-6,0,0.812287,-0.581819,-0.040945,92.3466,35.613
-5,-2,0.681796,-0.726203,-0.088229,95.0617,46.8065
-4,-4,0.525712,-0.839895,-0.134921,97.7541,57.9565
-1,-11,-0.308523,-0.867054,-0.391192,113.0287,109.587
-9,7,0.995324,0.080461,0.053448,86.9362,-4.6217
-3,-6,0.310373,-0.93033,-0.195334,101.2642,71.5504
