p,q,x,y,z,theta,phi,hex1,hex2
-18,-12,0.406262,0.020718,-0.913522,155.9966,-2.9194,6,1
-18,-11,0.470436,0.019202,-0.882225,151.9119,-2.3374,7,1
-17,-13,0.381755,0.087134,-0.920147,156.9476,-12.8572,5,2
-17,-12,0.450819,0.124199,-0.883932,152.1204,-15.4027,6,2
-17,-11,0.497501,0.11268,-0.860114,149.3294,-12.7617,7,2
-16,-13,0.373124,0.178112,-0.910524,155.5779,-25.5176,5,3
-16,-14,0.291033,0.163016,-0.942722,160.5139,-29.2544,4,3
-18,-9,0.600321,0.02118,-0.799479,143.0804,-2.0206,9,1
-17,-10,0.550677,0.115012,-0.826757,145.767,-11.797,8,2
-16,-12,0.437513,0.194168,-0.877998,151.4019,-23.9317,6,3
-16,-11,0.50279,0.202,-0.840475,147.1903,-21.8882,7,3
-17,-9,0.608783,0.110625,-0.785586,141.7749,-10.2991,9,2
-18,-8,0.649921,0.017346,-0.759804,139.4469,-1.5289,10,1
-15,-13,0.347104,0.248705,-0.904248,154.7222,-35.6221,5,4
-16,-10,0.55255,0.190394,-0.811443,144.2371,-19.0126,8,3
-15,-14,0.278371,0.224114,-0.933961,159.0609,-38.8372,4,4
-15,-12,0.423901,0.269454,-0.864698,149.8482,-32.4422,6,4
-15,-15,0.206957,0.214781,-0.954483,162.6466,-46.0628,3,4
-15,-11,0.48438,0.274964,-0.830524,146.1526,-29.5819,7,4
-17,-8,0.663799,0.094571,-0.741907,137.8942,-8.1083,10,2
-16,-9,0.620155,0.189137,-0.761337,139.5822,-16.9608,9,3
-15,-10,0.549218,0.26587,-0.792258,142.397,-25.8311,8,4
-14,-14,0.243354,0.294539,-0.924135,157.5383,-50.4358,4,5
-14,-13,0.312316,0.317108,-0.895489,153.5714,-45.4362,5,5
-14,-15,0.18078,0.271116,-0.945418,160.9822,-56.3047,3,5
-14,-12,0.396001,0.343092,-0.851746,148.4021,-40.9054,6,5
-16,-8,0.669572,0.162125,-0.724837,136.4553,-13.6112,10,3
-17,-7,0.710382,0.068587,-0.700466,134.4644,-5.5148,11,2
-15,-9,0.612504,0.266492,-0.744191,138.0897,-23.5132,9,4
-14,-16,0.140781,0.230085,-0.962934,164.3514,-58.5389,2,5
-14,-11,0.46049,0.343514,-0.818503,144.9352,-36.722,7,5
-14,-10,0.525276,0.338228,-0.780824,141.3361,-32.7777,8,5
-16,-7,0.713274,0.144137,-0.685905,133.3068,-11.4243,11,3
-13,-14,0.198611,0.365735,-0.909281,155.4062,-61.4961,4,6
-15,-8,0.67247,0.244384,-0.698613,134.3158,-19.9718,10,4
-13,-13,0.277882,0.391508,-0.877213,151.308,-54.6339,5,6
-13,-15,0.130652,0.337845,-0.932089,158.7629,-68.8575,3,6
-13,-12,0.35671,0.403429,-0.842617,147.4175,-48.517,6,6
