p,q,x,y,z,theta,phi,hex1,hex2
-7,-3,0.723226,-0.661498,-0.198405,101.4437,42.4476,15,12
-3,-14,-0.448538,-0.680366,-0.579582,125.4212,123.3953,4,16
-11,5,0.996007,0.054732,-0.070534,94.0447,-3.1453,23,8
-6,-5,0.572521,-0.781761,-0.247122,104.3073,53.7829,13,13
-4,-10,0.017263,-0.907398,-0.419919,114.8295,88.9101,8,15
-3,-13,-0.36595,-0.757273,-0.540942,122.7478,115.792,5,16
-5,-7,0.364331,-0.877214,-0.312665,108.2199,67.4455,11,14
-9,2,0.957151,-0.283911,-0.057066,93.2714,16.5215,20,10
-8,0,0.881828,-0.460544,-0.101388,95.8191,27.5763,18,11
-10,4,0.995583,-0.088034,-0.032619,91.8692,5.0532,22,9
-7,-2,0.770179,-0.619018,-0.153755,98.8446,38.79,16,12
-4,-9,0.123429,-0.920869,-0.369817,111.7043,82.3658,9,15
-3,-12,-0.258001,-0.832468,-0.49034,119.3629,107.2194,6,16
-6,-4,0.619625,-0.755134,-0.214098,102.3626,50.6294,14,13
-5,-6,0.443205,-0.856351,-0.265014,105.3678,62.6361,12,14
-3,-11,-0.146002,-0.880486,-0.451031,116.8098,99.4151,7,16
-4,-8,0.21373,-0.918705,-0.332116,109.3973,76.9035,10,15
-10,5,0.999839,-0.012759,-0.012577,90.7206,0.7311,23,9
-9,3,0.976815,-0.213146,-0.020039,91.1482,12.3093,21,10
-8,1,0.920607,-0.386566,-0.055229,93.166,22.7777,19,11
-7,-1,0.805899,-0.581408,-0.111762,96.4169,35.8082,17,12
-2,-14,-0.513627,-0.654728,-0.554543,123.6792,128.1138,4,17
-6,-3,0.670785,-0.723133,-0.164704,99.48,47.1507,15,13
-3,-10,-0.048122,-0.915076,-0.400401,113.6032,93.0103,8,16
-2,-13,-0.43566,-0.734209,-0.520709,121.3798,120.6838,5,17
-5,-5,0.511356,-0.831812,-0.215878,102.467,58.4189,13,14
-4,-7,0.297492,-0.913129,-0.278737,106.1848,71.9547,11,15
-9,4,0.987359,-0.158275,0.008484,89.5139,9.1071,22,10
-8,2,0.938695,-0.34385,-0.024863,91.4247,20.1181,20,11
-10,6,0.996603,0.081088,0.01438,89.176,-4.6516,24,9
-2,-12,-0.334094,-0.815908,-0.471885,118.1567,112.2679,6,17
-7,0,0.845398,-0.529194,-0.072498,94.1575,32.0454,18,12
-3,-9,0.04157,-0.938449,-0.342907,110.0541,87.4637,9,16
-6,-2,0.725689,-0.677398,-0.120447,96.9179,43.0288,16,13
-5,-4,0.580547,-0.796289,-0.169969,99.786,53.9055,14,14
-4,-6,0.379503,-0.896876,-0.227137,103.1286,67.0649,12,15
-2,-11,-0.22313,-0.88293,-0.413096,114.3995,104.1826,7,17
-9,5,0.995468,-0.084291,0.044035,87.4762,4.84,23,10
-8,3,0.962381,-0.271633,0.006243,89.6423,15.7618,21,11
-3,-8,0.128925,-0.948316,-0.289957,106.8554,82.258,10,16
-7,1,0.889007,-0.457302,-0.023256,91.3326,27.2211,19,12
-1,-14,-0.587495,-0.621166,-0.518654,121.242,133.4043,4,18
-6,-1,0.774635,-0.627258,-0.080551,94.6202,38.9987,17,13
-5,-3,0.632863,-0.763518,-0.128552,97.3859,50.3454,15,14
-1,-13,-0.505052,-0.712673,-0.486847,119.1335,125.3242,5,18
-2,-10,-0.116122,-0.925487,-0.36054,111.1334,97.1516,8,17
-4,-5,0.458767,-0.870372,-0.178844,100.3024,62.2066,13,15
-9,6,0.998715,-0.006403,0.050279,87.118,0.3674,24,10
-3,-7,0.223515,-0.943419,-0.244953,104.1791,76.6712,11,16
-1,-12,-0.41894,-0.789315,-0.448856,116.6703,117.9577,6,18
-8,4,0.977388,-0.207481,0.040792,87.6622,11.9849,22,11
-7,2,0.918813,-0.39459,0.008986,89.4851,23.2414,20,12
-2,-9,-0.023264,-0.948317,-0.316472,108.4497,91.4053,9,17
-6,0,0.81061,-0.583929,-0.044025,92.5233,35.7674,18,13
-5,-2,0.679077,-0.728789,-0.087866,95.0409,47.0223,16,14
-4,-4,0.527558,-0.83899,-0.133336,97.6624,57.8383,14,15
-1,-11,-0.308543,-0.867684,-0.389777,112.9406,109.5751,7,18
-9,7,0.995324,0.080461,0.053448,86.9362,-4.6217,25,10
-3,-6,0.311353,-0.930303,-0.193894,101.1801,71.4957,12,16
-8,5,0.987234,-0.143647,0.06881,86.0544,8.2787,23,11
-2,-8,0.056078,-0.961587,-0.268711,105.5876,86.6624,10,17
-7,3,0.938796,-0.34259,0.035975,87.9383,20.0483,21,12
-6,1,0.851742,-0.523927,0.00601,89.6557,31.5967,19,13
0,-13,-0.594973,-0.663565,-0.453528,116.9703,131.8804,5,19
-1,-10,-0.19638,-0.923942,-0.328276,109.1642,101.9994,8,18
-5,-1,0.740727,-0.670352,-0.04417,92.5316,42.1448,17,14
-4,-3,0.585264,-0.805744,-0.090792,95.2092,54.0067,15,15
-3,-5,0.390019,-0.909731,-0.142385,98.1859,66.7943,13,16
-8,6,0.993565,-0.072624,0.086915,85.0139,4.1806,24,11
0,-12,-0.489916,-0.766102,-0.416017,114.5834,122.5986,6,19
-7,4,0.959851,-0.272363,0.067111,86.1519,15.8416,22,12
-2,-7,0.144384,-0.966734,-0.211138,102.1891,81.5055,11,17
-6,2,0.888182,-0.457141,0.046418,87.3395,27.2345,20,13
