p,q,x,y,z,theta,phi,hex1,hex2
8,3,0.122081,0.841781,0.525834,58.2756,-81.7481,21,27
10,0,-0.261191,0.853601,0.450715,63.2105,-107.0135,18,29
5,8,0.567307,0.538419,0.623112,51.4563,-43.5035,26,24
2,13,0.802014,0.109447,0.587192,54.042,-7.7708,31,21
7,5,0.311346,0.755578,0.576337,54.8066,-67.6052,23,26
13,-3,-0.807462,0.512946,0.291363,73.0604,-147.5739,15,32
4,10,0.658777,0.403844,0.634762,50.5977,-31.5092,28,23
11,-1,-0.420434,0.802951,0.4225,65.0075,-117.637,17,30
9,2,-0.038115,0.855625,0.516191,58.9229,-92.5506,20,28
6,7,0.471692,0.627736,0.619236,51.7396,-53.0782,25,25
12,-2,-0.591562,0.714649,0.37327,68.0825,-129.6168,16,31
3,12,0.739361,0.240469,0.628904,51.0307,-18.0165,30,22
8,4,0.177939,0.806203,0.564246,55.65,-77.5537,22,27
5,9,0.58785,0.48353,0.64856,49.5669,-39.4387,27,24
2,14,0.801079,0.034498,0.597564,53.3044,-2.4659,32,21
10,1,-0.207945,0.841943,0.497887,60.1397,-103.8734,19,29
7,6,0.36305,0.69683,0.618565,51.7886,-62.4804,24,26
4,11,0.680971,0.340176,0.648505,49.571,-26.5442,29,23
11,0,-0.344596,0.815878,0.464323,62.3336,-112.8974,18,30
9,3,0.026836,0.825612,0.5636,55.6949,-88.1383,21,28
2,15,0.801913,-0.053643,0.595028,53.4854,3.827,33,21
6,8,0.507147,0.56144,0.653901,49.1636,-47.9086,26,25
3,13,0.758772,0.156748,0.632215,50.7863,-11.6721,31,22
13,-2,-0.707869,0.604209,0.365858,68.5396,-139.5173,16,32
12,-1,-0.523914,0.727382,0.443204,63.6915,-125.7642,17,31
8,5,0.232619,0.758001,0.609363,52.4566,-72.9395,23,27
5,10,0.596577,0.430912,0.67706,47.3857,-35.8409,28,24
10,2,-0.134378,0.834782,0.533931,57.7286,-99.1447,20,29
7,7,0.413132,0.628207,0.659301,48.7534,-56.6696,25,26
4,12,0.689114,0.27061,0.67223,47.7606,-21.4395,30,23
3,14,0.763034,0.070604,0.64249,50.0222,-5.2866,32,22
9,4,0.087817,0.799577,0.594108,53.5509,-83.7324,22,28
6,9,0.529905,0.49956,0.685303,46.7406,-43.3116,27,25
11,1,-0.289045,0.804173,0.519383,58.7091,-109.77,19,30
12,0,-0.449222,0.745907,0.491754,60.544,-121.0584,18,31
